model,category,index,subject,prompttemplate,promptcategory,difficulty,goldenrecordImages,expectedValue,annotation_prompt_0,annotation_prompt_1,annotation_prompt_2,extract_caption,questions,image,answers,quest1,quest2,quest3,quest4,quest5,quest6,quest7,quest8,quest9,quest10,quest11,quest12
sdxlbase,Maps,39,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/asia/maps_asia_1914.png,,Is the following subject present in the image: 'Map of asia'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of asia in 1914'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a realistic map of asia in 1914,"['What is the primary object being described in the task?', 'What is being created according to the description?    **A)** A historical document    **B)** A work of art    **C)** A map    **D)** A book', 'Which continent or region is the focus of the map?', 'What region is the map supposed to represent?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** North America', 'In what year is the map of Asia supposed to be set?', 'What year should the map depict?    **A)** 1900    **B)** 1914    **C)** 1920    **D)** 1930', 'How is the map of Asia supposed to be represented?', 'What style should the map of Asia be?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic', 'What is the overall task described?', 'What is the main purpose of the task?    **A)** To draw a fantasy world    **B)** To create a piece of art    **C)** To design a realistic historical map    **D)** To write a story']",generatedImages/sdxlbase/Maps/image_39.png,"['A map', 'C) A map', 'Asia', 'B) Asia', '1914', 'B) 1914', 'Realistically', 'C) Realistic', 'To create a realistic map of Asia in 1914', 'C) To design a realistic historical map']",What is the primary object being described in the task?,What is being created according to the description?    **A)** A historical document    **B)** A work of art    **C)** A map    **D)** A book,Which continent or region is the focus of the map?,What region is the map supposed to represent?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** North America,In what year is the map of Asia supposed to be set?,What year should the map depict?    **A)** 1900    **B)** 1914    **C)** 1920    **D)** 1930,How is the map of Asia supposed to be represented?,What style should the map of Asia be?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic,What is the overall task described?,What is the main purpose of the task?    **A)** To draw a fantasy world    **B)** To create a piece of art    **C)** To design a realistic historical map    **D)** To write a story,,
blackforest,Maps,231,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/africa/maps_africa_1960.png,,Is the following subject present in the image: 'Map of africa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a realistic map of africa in 1960'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a realistic map of africa in 1960,"['What is the primary object being described in the task?', 'What is being asked to be produced?    **A)** A picture of Africa    **B)** A map of Africa    **C)** A video about Africa    **D)** A book on African history', 'Which continent is the focus of the map?', 'Where is the map supposed to represent?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** South America', 'In what year is the map supposed to represent Africa?', 'What year should the map depict Africa as of?    **A)** 1950    **B)** 1960    **C)** 1970    **D)** 1980', 'What kind of map is being requested?', 'How is the map of Africa supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Simplified', 'What is the overall task described?', 'What is the main purpose of the task?    **A)** To create a work of art    **B)** To produce a realistic map of Africa in 1960    **C)** To write a story about Africa    **D)** To conduct a survey']",generatedImages/blackforest/Maps/image_231.png,"['A map', 'B) A map of Africa', 'Africa', 'B) Africa', '1960', 'B) 1960', 'A realistic map', 'B) Realistic', 'To produce a realistic map of Africa in 1960', 'B) To produce a realistic map of Africa in 1960']",What is the primary object being described in the task?,What is being asked to be produced?    **A)** A picture of Africa    **B)** A map of Africa    **C)** A video about Africa    **D)** A book on African history,Which continent is the focus of the map?,Where is the map supposed to represent?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** South America,In what year is the map supposed to represent Africa?,What year should the map depict Africa as of?    **A)** 1950    **B)** 1960    **C)** 1970    **D)** 1980,What kind of map is being requested?,How is the map of Africa supposed to be?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Simplified,What is the overall task described?,What is the main purpose of the task?    **A)** To create a work of art    **B)** To produce a realistic map of Africa in 1960    **C)** To write a story about Africa    **D)** To conduct a survey,,
sdxlbase,Maps,631,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/north_america/maps_north america_1800.png,,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a realistic map that accurately depicts north america in 1800'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a realistic map that accurately depicts north america in 1800,"['What is the primary object being described in the task?', 'What is the main object that needs to be produced?    **A)** A book    **B)** A map    **C)** A globe    **D)** A painting', 'Which continent or region is the map supposed to depict?', 'What geographical area should the map accurately show?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa', 'In which year should the map depict North America?', 'What year is the map supposed to represent?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000', 'How should the map depict North America?', 'What kind of depiction is required for the map of North America?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic', 'What is the overall goal of the task described?', 'What is the purpose of creating this map?    **A)** For decorative purposes    **B)** For educational use to show North America in 1800    **C)** For navigation in the present day    **D)** For a work of fiction']",generatedImages/sdxlbase/Maps/image_631.png,"['A map', 'B) A map', 'North America', 'C) North America', '1800', 'B) 1800', 'Realistically', 'C) Realistic', 'To produce a realistic map of North America as it was in 180', 'B) For educational use to show North America in 1800']",What is the primary object being described in the task?,What is the main object that needs to be produced?    **A)** A book    **B)** A map    **C)** A globe    **D)** A painting,Which continent or region is the map supposed to depict?,What geographical area should the map accurately show?    **A)** South America    **B)** Europe    **C)** North America    **D)** Africa,In which year should the map depict North America?,What year is the map supposed to represent?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000,How should the map depict North America?,What kind of depiction is required for the map of North America?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Futuristic,What is the overall goal of the task described?,What is the purpose of creating this map?    **A)** For decorative purposes    **B)** For educational use to show North America in 1800    **C)** For navigation in the present day    **D)** For a work of fiction,,
stable-diffusion-3-5,Maps,329,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/usa/maps_usa_1880.png,,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map illustrating the usa in 1880'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map illustrating the usa in 1880,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph', 'Which country is illustrated in the map?', 'What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The United States of America    **D)** Africa', 'In which year is the map set?', 'What year does the map illustrate?    **A)** 1850    **B)** 1880    **C)** 1900    **D)** 1950', 'What style is the map drawn in?', 'How would you describe the style of the map?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketchy', 'What is unique about the time period the map represents?', 'What historical period does the map fall into?    **A)** Pre Civil War    **B)** Post Civil War    **C)** World War I    **D)** World War II']",generatedImages/stable-diffusion-3-5/Maps/image_329.png,"['A map', 'B) A map', 'The United States of America (USA)', 'C) The United States of America', '1880', 'B) 1880', 'Realistic', 'C) Realistic', 'It represents the USA in 1880, a time of significant expansion and development.', 'B) Post Civil War']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph,Which country is illustrated in the map?,What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The United States of America    **D)** Africa,In which year is the map set?,What year does the map illustrate?    **A)** 1850    **B)** 1880    **C)** 1900    **D)** 1950,What style is the map drawn in?,How would you describe the style of the map?    **A)** Abstract    **B)** Cartoonish    **C)** Realistic    **D)** Sketchy,What is unique about the time period the map represents?,What historical period does the map fall into?    **A)** Pre Civil War    **B)** Post Civil War    **C)** World War I    **D)** World War II,,
sdv15,Maps,568,,(imperative) a realistic map that accurately depicts (place) in (suggestion),maps,1,goldenrecordImages/maps/usa/maps_usa_1820.png,,Is the following subject present in the image: 'Map of usa'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map that accurately depicts the usa in 1820'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a realistic map that accurately depicts the usa in 1820,"['What is the primary object being described in the task?', 'What type of object is being created according to the description?    **A)** A painting    **B)** A map    **C)** A sculpture    **D)** A photograph', 'Which country is the map supposed to depict?', 'What geographical area is the focus of the map?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa', 'In what year is the map supposed to accurately depict the USA?', ""What year is specified for the map's depiction of the USA?    **A)** 1800    **B)** 1820    **C)** 1850    **D)** 1900"", 'What kind of depiction is the map supposed to be?', 'How is the map supposed to depict the USA?    **A)** Fantastical    **B)** Abstract    **C)** Realistic    **D)** Cartoonish', 'What is the main purpose of creating this map?', ""Why is the year 1820 significant for the map?    **A)** It marks the beginning of the USA    **B)** It is the year the map was created    **C)** It is the year specified for the map's historical accuracy    **D)** It marks the end of the USA""]",generatedImages/sdv15/Maps/image_568.png,"['A map', 'B) A map', 'The USA', 'C) The USA', '1820', 'B) 1820', 'Realistic', 'C) Realistic', 'To accurately depict the USA in 1820', ""C) It is the year specified for the map's historical accuracy""]",What is the primary object being described in the task?,What type of object is being created according to the description?    **A)** A painting    **B)** A map    **C)** A sculpture    **D)** A photograph,Which country is the map supposed to depict?,What geographical area is the focus of the map?    **A)** Europe    **B)** Asia    **C)** The USA    **D)** Africa,In what year is the map supposed to accurately depict the USA?,What year is specified for the map's depiction of the USA?    **A)** 1800    **B)** 1820    **C)** 1850    **D)** 1900,What kind of depiction is the map supposed to be?,How is the map supposed to depict the USA?    **A)** Fantastical    **B)** Abstract    **C)** Realistic    **D)** Cartoonish,What is the main purpose of creating this map?,Why is the year 1820 significant for the map?    **A)** It marks the beginning of the USA    **B)** It is the year the map was created    **C)** It is the year specified for the map's historical accuracy    **D)** It marks the end of the USA,,
sdxlbase,Maps,66,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/america/maps_america_1800.png,,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1800'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map of america in 1800,"['What is the primary item being requested in the description?', 'What type of item is being asked for?    **A)** A book    **B)** A map    **C)** A painting    **D)** A sculpture', 'Which continent or region is the map supposed to represent?', 'What is the geographical area that the map should depict?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** America', 'In what year is the map supposed to be set or represent?', 'What year should the map reflect?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000', 'What style or nature of map is being requested?', 'How is the map supposed to be represented?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Futuristic', 'What is the main subject of the request?', 'What best describes the request?    **A)** A modern map of Europe    **B)** A historical map of America    **C)** A futuristic map of Asia    **D)** A contemporary map of Africa']",generatedImages/sdxlbase/Maps/image_66.png,"['A map', 'B) A map', 'America', 'D) America', '1800', 'B) 1800', 'Realistic', 'C) Realistic', 'A realistic map of America in 1800', 'B) A historical map of America']",What is the primary item being requested in the description?,What type of item is being asked for?    **A)** A book    **B)** A map    **C)** A painting    **D)** A sculpture,Which continent or region is the map supposed to represent?,What is the geographical area that the map should depict?    **A)** Europe    **B)** Asia    **C)** Africa    **D)** America,In what year is the map supposed to be set or represent?,What year should the map reflect?    **A)** 1700    **B)** 1800    **C)** 1900    **D)** 2000,What style or nature of map is being requested?,How is the map supposed to be represented?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Futuristic,What is the main subject of the request?,What best describes the request?    **A)** A modern map of Europe    **B)** A historical map of America    **C)** A futuristic map of Asia    **D)** A contemporary map of Africa,,
sdxlbase,Maps,912,,(imperative) a realistic map of (place) as it was in (suggestion),maps,1,goldenrecordImages/maps/north_america/maps_north america_1840.png,,Is the following subject present in the image: 'Map of north america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map of north america as it was in 1840'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a realistic map of north america as it was in 1840,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    A) A landscape    B) A portrait    C) A map    D) A still life', 'Which continent or region is the map representing?', 'What geographical area does the map cover?    A) South America    B) Europe    C) North America    D) Africa', 'In what year is the map of North America set?', 'What year does the map depict North America as it was in?    A) 1800    B) 1840    C) 1900    D) 2000', 'What style or type of map is being described?', 'How is the map of North America described in terms of its style?    A) Abstract    B) Cartoonish    C) Realistic    D) Sketchy', 'What historical period does the map represent?', ""What significant aspect of the map's creation is emphasized?    A) Its size    B) Its color    C) Its realism    D) Its material""]",generatedImages/sdxlbase/Maps/image_912.png,"['A map', 'C) A map', 'North America', 'C) North America', '1840', 'B) 1840', 'Realistic', 'C) Realistic', 'The mid 19th century', 'C) Its realism']",What is the primary object depicted in the image?,What is the main subject of the image?    A) A landscape    B) A portrait    C) A map    D) A still life,Which continent or region is the map representing?,What geographical area does the map cover?    A) South America    B) Europe    C) North America    D) Africa,In what year is the map of North America set?,What year does the map depict North America as it was in?    A) 1800    B) 1840    C) 1900    D) 2000,What style or type of map is being described?,How is the map of North America described in terms of its style?    A) Abstract    B) Cartoonish    C) Realistic    D) Sketchy,What historical period does the map represent?,What significant aspect of the map's creation is emphasized?    A) Its size    B) Its color    C) Its realism    D) Its material,,
stable-diffusion-3-5,Maps,67,,(imperative) a realistic map of (place) in (suggestion),maps,1,goldenrecordImages/maps/america/maps_america_1883.png,,Is the following subject present in the image: 'Map of america'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map of america in 1883'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map of america in 1883,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph of a person    **B)** A map    **C)** A painting of an animal    **D)** A graph of economic data', 'Which continent or region is the map representing?', 'What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** America    **D)** Africa', 'In what year is the map set or representing?', 'What year does the map depict America as of?    **A)** 1776    **B)** 1883    **C)** 1920    **D)** 2020', 'What style or type of map is being requested?', 'How is the map of America in 1883 described in terms of its style?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Sketchy']",generatedImages/stable-diffusion-3-5/Maps/image_67.png,"['A map', 'B) A map', 'America', 'C) America', '1883', 'B) 1883', 'Realistic', 'B) Realistic']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph of a person    **B)** A map    **C)** A painting of an animal    **D)** A graph of economic data,Which continent or region is the map representing?,What geographical area does the map cover?    **A)** Europe    **B)** Asia    **C)** America    **D)** Africa,In what year is the map set or representing?,What year does the map depict America as of?    **A)** 1776    **B)** 1883    **C)** 1920    **D)** 2020,What style or type of map is being requested?,How is the map of America in 1883 described in terms of its style?    **A)** Abstract    **B)** Realistic    **C)** Cartoonish    **D)** Sketchy,,,,
stable-diffusion-3-5,Maps,482,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/europe/maps_europe_1991.png,,Is the following subject present in the image: 'Map of europe'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Give me a realistic map illustrating europe in 1991'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Give me a realistic map illustrating europe in 1991,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting', 'Which continent is illustrated in the map?', 'What region is primarily shown in the map?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America', 'In what year is the map set or representing?', 'What year does the map illustrate?    **A)** 1980    **B)** 1991    **C)** 2000    **D)** 2010', 'What style is the map illustrated in?', 'How would you describe the style of the map?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketchy', 'What is unique about the time period the map represents?', 'What significant geopolitical event occurred around the time the map represents?    **A)** The formation of the European Union    **B)** The end of the Cold War    **C)** The beginning of World War II    **D)** The dissolution of the Roman Empire']",generatedImages/stable-diffusion-3-5/Maps/image_482.png,"['A map', 'B) A map', 'Europe', 'C) Europe', '1991', 'B) 1991', 'Realistic', 'C) Realistic', 'It represents Europe before the dissolution of Yugoslavia and the Soviet Union, showing the political boundaries as they were in 199', 'B) The end of the Cold War']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A graph    **D)** A painting,Which continent is illustrated in the map?,What region is primarily shown in the map?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America,In what year is the map set or representing?,What year does the map illustrate?    **A)** 1980    **B)** 1991    **C)** 2000    **D)** 2010,What style is the map illustrated in?,How would you describe the style of the map?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketchy,What is unique about the time period the map represents?,What significant geopolitical event occurred around the time the map represents?    **A)** The formation of the European Union    **B)** The end of the Cold War    **C)** The beginning of World War II    **D)** The dissolution of the Roman Empire,,
blackforest,Maps,305,,(imperative) a realistic map illustrating (place) in (suggestion),maps,1,goldenrecordImages/maps/middle_east/maps_middle east_1947.png,,Is the following subject present in the image: 'Map of middle east'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a realistic map illustrating the middle east in 1947'? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a realistic map illustrating the middle east in 1947,"['What is the primary object depicted in the image?', 'What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph', 'Which region is illustrated in the map?', 'What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa', 'In which year is the map set?', 'What year does the map depict?    **A)** 1950    **B)** 1947    **C)** 1960    **D)** 1940', 'How would you describe the style of the map?', 'What style is the map illustrated in?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketch', 'What historical period does the map reflect?', 'What significant event might this map be related to, given its year?    **A)** The end of World War I    **B)** The establishment of the United Nations    **C)** The aftermath of World War II and the beginning of the Cold War    **D)** The start of World War II']",generatedImages/blackforest/Maps/image_305.png,"['A map', 'B) A map', 'The Middle East', 'C) The Middle East', '1947', 'B) 1947', 'Realistic', 'C) Realistic', 'The mid 20th century, specifically around the time after World War II.', 'C) The aftermath of World War II and the beginning of the Cold War']",What is the primary object depicted in the image?,What is the main subject of the image?    **A)** A photograph    **B)** A map    **C)** A painting    **D)** A graph,Which region is illustrated in the map?,What geographical area does the map represent?    **A)** Europe    **B)** Asia    **C)** The Middle East    **D)** Africa,In which year is the map set?,What year does the map depict?    **A)** 1950    **B)** 1947    **C)** 1960    **D)** 1940,How would you describe the style of the map?,What style is the map illustrated in?    **A)** Cartoonish    **B)** Abstract    **C)** Realistic    **D)** Sketch,What historical period does the map reflect?,"What significant event might this map be related to, given its year?    **A)** The end of World War I    **B)** The establishment of the United Nations    **C)** The aftermath of World War II and the beginning of the Cold War    **D)** The start of World War II",,
stable-diffusion-3-5,Landscapes,1556,mountains,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),Seasonality,2,,"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Produce a photorealistic image of mountains in europe in november '? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Produce a photorealistic image of mountains in europe in november ,"['What is the main subject of the image?', 'What is primarily depicted in the image?    A) Rivers    B) Mountains    C) Cities    D) Forests', 'In which continent are the mountains located?', 'Where are the mountains situated?    A) Asia    B) Africa    C) Europe    D) North America', 'During which month is the scene set?', 'What time of the year is depicted in the image?    A) Summer    B) Autumn (November)    C) Spring    D) Winter', 'What style is the image produced in?', 'How would you describe the style of the image?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist', 'What season is likely represented in the image given the month?', ""What is a characteristic of the image based on the description?    A) It's a sketch    B) It's a painting    C) It looks very realistic    D) It's a silhouette""]",generatedImages/stable-diffusion-3-5/Landscapes/image_1556.png,"['Mountains', 'B) Mountains', 'Europe', 'C) Europe', 'November', 'B) Autumn (November)', 'Photorealistic', 'C) Photorealistic', 'Autumn', 'C) It looks very realistic']",What is the main subject of the image?,What is primarily depicted in the image?    A) Rivers    B) Mountains    C) Cities    D) Forests,In which continent are the mountains located?,Where are the mountains situated?    A) Asia    B) Africa    C) Europe    D) North America,During which month is the scene set?,What time of the year is depicted in the image?    A) Summer    B) Autumn (November)    C) Spring    D) Winter,What style is the image produced in?,How would you describe the style of the image?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist,What season is likely represented in the image given the month?,What is a characteristic of the image based on the description?    A) It's a sketch    B) It's a painting    C) It looks very realistic    D) It's a silhouette,,
blackforest,Landscapes,1157,mountains,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),Seasonality,2,,"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'mountains'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of mountains in europe on 02/03/1936 '? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of mountains in europe on 02/03/1936 ,"['What is the main subject of the image?', 'What is primarily depicted in the image?    A) Rivers    B) Mountains    C) Cities    D) Forests', 'In which continent are the mountains located?', 'Where are the mountains situated?    A) Asia    B) Africa    C) Europe    D) North America', 'On which date is the image set?', 'What is the date associated with the image?    A) 01/01/1900    B) 02/03/1936    C) 12/12/2000    D) 07/07/1950', 'What style is the image supposed to be?', 'What is the intended style of the image?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist']",generatedImages/blackforest/Landscapes/image_1157.png,"['Mountains', 'B) Mountains', 'Europe', 'C) Europe', '02/03/1936', 'B) 02/03/1936', 'Photorealistic', 'C) Photorealistic']",What is the main subject of the image?,What is primarily depicted in the image?    A) Rivers    B) Mountains    C) Cities    D) Forests,In which continent are the mountains located?,Where are the mountains situated?    A) Asia    B) Africa    C) Europe    D) North America,On which date is the image set?,What is the date associated with the image?    A) 01/01/1900    B) 02/03/1936    C) 12/12/2000    D) 07/07/1950,What style is the image supposed to be?,What is the intended style of the image?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist,,,,
sdv15,Landscapes,352,a city,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),Seasonality,2,,"golden,leaves,colored leaves,orange leaves,warm-hued landscape,golden,leaves,colored leaves,orange leaves,warm-hued landscape",Is the following subject present in the image: 'a city'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Create a photorealistic image of a city in europe on 09/30/1939 '? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Create a photorealistic image of a city in europe on 09/30/1939 ,"['What is the main setting of the image?', 'What is the primary location depicted in the image?    **A)** A forest    **B)** A city    **C)** A mountain    **D)** A river', 'In which continent is the city located?', 'On which continent is the city in the image situated?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America', 'On what date is the scene set?', 'What is the date depicted in the image?    **A)** September 1, 1939    **B)** September 30, 1939    **C)** October 1, 1939    **D)** December 31, 1939', 'What style is the image created in?', 'How would you describe the style of the image?    **A)** Abstract    **B)** Impressionist    **C)** Photorealistic    **D)** Cubist', 'What historical event might be related to the timing of the image?', 'What significant event occurred around the time depicted in the image?    **A)** The end of World War I    **B)** The start of World War II    **C)** The French Revolution    **D)** The Industrial Revolution']",generatedImages/sdv15/Landscapes/image_352.png,"['A city', 'B) A city', 'Europe', 'C) Europe', 'September 30, 1939', 'B) September 30, 1939', 'Photorealistic', 'C) Photorealistic', 'The start of World War II', 'B) The start of World War II']",What is the main setting of the image?,What is the primary location depicted in the image?    **A)** A forest    **B)** A city    **C)** A mountain    **D)** A river,In which continent is the city located?,On which continent is the city in the image situated?    **A)** Asia    **B)** Africa    **C)** Europe    **D)** North America,On what date is the scene set?,"What is the date depicted in the image?    **A)** September 1, 1939    **B)** September 30, 1939    **C)** October 1, 1939    **D)** December 31, 1939",What style is the image created in?,How would you describe the style of the image?    **A)** Abstract    **B)** Impressionist    **C)** Photorealistic    **D)** Cubist,What historical event might be related to the timing of the image?,What significant event occurred around the time depicted in the image?    **A)** The end of World War I    **B)** The start of World War II    **C)** The French Revolution    **D)** The Industrial Revolution,,
sdxlturbo,Landscapes,1018,a landscape,(imperative) a photorealistic image of (place) in Europe (temporalvalue/daytimevalue),Seasonality,2,,"frosty,snowy,icy,snow,ice,frost,frosty and icy,frosty,snowy,icy,snow,ice,frost,frosty and icy",Is the following subject present in the image: 'a landscape'? Just reply with 'yes' or 'no'.,Is the image without any visual generation errors? Just reply with 'yes' or 'no'.,Is the image correct for the following prompt: 'Generate a photorealistic image of a landscape in europe on 02/08/1707 '? Is the correct temporal knowledge applied? Just reply with 'yes' or 'no'.,Generate a photorealistic image of a landscape in europe on 02/08/1707 ,"['What style is the image supposed to be in?', 'What style should the image be generated in?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist', 'What is being generated?', 'What is the product of the generation process?    A) Video    B) Music    C) Image    D) Text', 'What type of scene is the image supposed to depict?', 'What is the main subject of the image?    A) Portrait    B) Still life    C) Landscape    D) Abstract', 'Where is the landscape located?', 'In which continent is the landscape situated?    A) Asia    B) Africa    C) Europe    D) North America', 'On what date is the image set?', 'What is the specific date associated with the image generation?    A) 01/01/1800    B) 02/08/1707    C) 12/31/1900    D) 07/04/1776']",generatedImages/sdxlturbo/Landscapes/image_1018.png,"['Photorealistic', 'C) Photorealistic', 'An image', 'C) Image', 'A landscape', 'C) Landscape', 'Europe', 'C) Europe', '02/08/1707', 'B) 02/08/1707']",What style is the image supposed to be in?,What style should the image be generated in?    A) Abstract    B) Cartoonish    C) Photorealistic    D) Impressionist,What is being generated?,What is the product of the generation process?    A) Video    B) Music    C) Image    D) Text,What type of scene is the image supposed to depict?,What is the main subject of the image?    A) Portrait    B) Still life    C) Landscape    D) Abstract,Where is the landscape located?,In which continent is the landscape situated?    A) Asia    B) Africa    C) Europe    D) North America,On what date is the image set?,What is the specific date associated with the image generation?    A) 01/01/1800    B) 02/08/1707    C) 12/31/1900    D) 07/04/1776,,
